Name :- TEST CUSTOMER
Joint Holder :- -
TEST ADDRESS LINE 1
TEST ADDRESS LINE 2
TEST CITY-000000
TEST STATE-INDIA
Currency :- INR
Customer ID :- 000000000
IFSC Code :- UTIB0000000
MICR Code :- 000000000
Nominee Registered :- Y

Registered Mobile No :- XXXXXX0000
Registered Email ID :- test@example.com
PAN :- AAAAA0000A
CKYC NUMBER :- XXXXXXXXXX0000

Statement of Account No - 920000000000000 for the period (From : 03-01-2026  To : 03-07-2026) 

Tran Date,CHQNO,PARTICULARS,DR,CR,BAL,SOL
09-01-2026,-,UPI/P2A/000000000001/TEST PAYEE 001       /NO REM/INDIAN BANK, ,               957.00,            23039.69,4437
09-01-2026,-,UPI/P2A/000000000002/TEST PAYEE 002       /NO REM/INDIAN BANK, ,              1000.00,            22039.69,4437
09-01-2026,-,UPI/P2A/000000000003/TEST PAYEE 003       /NO REM/INDIAN BANK, ,              2953.00,            19086.69,4437
10-01-2026,-,UPI/P2M/000000000004/TEST MERCHANT 004/NO REM/AXIS BANK, ,               430.00,            18656.69,4437
11-01-2026,-,UPI/P2A/000000000005/TEST PAYEE 005       /NO REM/INDIAN BANK, ,              3200.00,            15456.69,4437
12-01-2026,-,UPI/P2A/000000000006/TEST PAYEE 006       /NO REM/Kotak Mahindra Bank, ,              1246.00,            14210.69,4437
13-01-2026,-,UPI/P2A/000000000007/TEST PAYEE 007       /NO REM/ICICI Bank, ,             10500.00,             3710.69,4437
16-01-2026,-,UPI/P2M/000000000008/TEST MERCHANT 008/HDFC BANK/Executio//P2V/, ,               365.00,             3345.69,4437
16-01-2026,-,ECOM PUR/TEST MERCHANT 009/TESTCITY/010126/00:00/000009, ,               312.04,             3033.65,4437
17-01-2026,-,Cash Txn Chrgs Incl GST, ,              1475.00,             1558.65,4437
19-01-2026,-,UPI/P2M/000000000011/TEST MERCHANT 011/NO REM/YES BANK LIMITED YBS, ,               320.00,             1238.65,4437
01-02-2026,-,CreditCard Payment XX 0000 Ref#TESTREF012, ,              1238.00,                 .65,4437
24-02-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/TEST,             26894.00, ,            26894.65,4437
24-02-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/Oth, ,             24000.00,             2894.65,4437
01-03-2026,-,UPI/P2M/000000000015/TEST MERCHANT 015/APPLAM/HDFC BANK LTD, ,              2000.00,              894.65,4437
01-03-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/TEST,            155000.00, ,           155894.65,4437
01-03-2026,-,MOB/TEST/TEST/TEST, ,             55000.00,           100894.65,4437
11-03-2026,-,SI TEST TEST Inc GST FEB-26, ,               295.00,           100599.65,4437
17-03-2026,-,UPI/P2M/000000000019/TEST MERCHANT 019/HDFC BANK/Executio//P2V/, ,                 5.00,           100594.65,4437
24-03-2026,-,UPI/P2A/000000000020/TEST PAYEE 020       /Haltha/IDBI BANK, ,              6000.00,            94594.65,4437
24-03-2026,-,TEST/TEST/TEST TEST TEST TEST/RBL TEST TEST/FIR Txn TEST KYC/TEST/AML C,            590752.00, ,           685346.65,248
24-03-2026,-,CreditCard Payment XX 0000 Ref#TESTREF022, ,            106004.76,           579341.89,4437
24-03-2026,-,UPI/P2A/000000000023/TEST PAYEE 023       /NO REM/HDFC BANK LTD, ,              5891.00,           573450.89,4437
24-03-2026,-,UPI/TEST/TEST/23.03.TEST,                 5.00, ,           573455.89,100
