TEST R1 TTTT :- TTTT TTTTTT
TEST R1 TTTTT TTTTTT :- -
TEST R1 T-00 TTT-0 TTTTTTTTTT
TEST R1 TTTTTTTT TTTTT
TEST R1 TTTTTT-000000
TEST R1 TTTTTTTTT-TTTTT
Currency :- INR
TEST R1 TTTTTTTT TT :- 000000000
TEST R1 TTTT TTTT :- TTTT0000000
TEST R1 TTTT TTTT :- 000000000
TEST R1 TTTTTTT TTTTTTTTTT :- T                                                                                                   
TEST R1 TTTTTTTTTT TTTTTT TT :- TTTTTT0000
TEST R1 TTTTTTTTTT TTTTT TT :- TTTTTT00@TTTTT.TTT
TEST R1 TTT :- TTTTT0000T
TEST R1 TTTT TTTTTT :- TTTTTTTTTT0000

Statement of Account No - 921234567890123 for the period

Tran Date,CHQNO,PARTICULARS,DR,CR,BAL,SOL
04-04-2026,TESTREF001,TEST ENTRY R1-001, ,              4221.00,            81020.39,9999
07-04-2026,TESTREF002,TEST ENTRY R1-002,               500.00, ,            80520.39,9999
10-04-2026,TESTREF003,TEST ENTRY R1-003,               100.00, ,            80420.39,9999
11-04-2026,TESTREF004,TEST ENTRY R1-004, ,              3000.00,            83420.39,9999
24-04-2026,TESTREF005,TEST ENTRY R1-005,             83000.00, ,              420.39,9999
26-04-2026,TESTREF006,TEST ENTRY R1-006, ,             49579.61,            50000.00,9999
12-05-2026,TESTREF007,TEST ENTRY R1-007,               108.00, ,            49892.00,9999
13-05-2026,TESTREF008,TEST ENTRY R1-008,                80.00, ,            49812.00,9999
27-05-2026,TESTREF009,TEST ENTRY R1-009,              2900.00, ,            46912.00,9999
13-06-2026,TESTREF010,TEST ENTRY R1-010,               554.00, ,            46358.00,9999
15-06-2026,TESTREF011,TEST ENTRY R1-011, ,              3050.00,            49408.00,9999
16-06-2026,TESTREF012,TEST ENTRY R1-012, ,              2000.00,            51408.00,9999
16-06-2026,TESTREF013,TEST ENTRY R1-013,                70.00, ,            51338.00,9999
17-06-2026,TESTREF014,TEST ENTRY R1-014,             15860.00, ,            35478.00,9999
30-06-2026,TESTREF015,TEST ENTRY R1-015,              6000.00, ,            29478.00,9999
30-06-2026,TESTREF016,TEST ENTRY R1-016,              2000.00, ,            27478.00,9999
