TEST R2 TTTT :- TTTT TTTTTT
TEST R2 TTTTT TTTTTT :- -
TEST R2 T-00 TTT-0 TTTTTTTTTT
TEST R2 TTTTTTTT TTTTT
TEST R2 TTTTTT-000000
TEST R2 TTTTTTTTT-TTTTT
Currency :- INR
TEST R2 TTTTTTTT TT :- 000000000
TEST R2 TTTT TTTT :- TTTT0000000
TEST R2 TTTT TTTT :- 000000000
TEST R2 TTTTTTT TTTTTTTTTT :- T                                                                                                   
TEST R2 TTTTTTTTTT TTTTTT TT :- TTTTTT0000
TEST R2 TTTTTTTTTT TTTTT TT :- TTTTTT00@TTTTT.TTT
TEST R2 TTT :- TTTTT0000T
TEST R2 TTTT TTTTTT :- TTTTTTTTTT0000

Statement of Account No - 921234567890123 for the period

Tran Date,CHQNO,PARTICULARS,DR,CR,BAL,SOL
04-04-2026,TESTREF001,TEST ENTRY R2-001, ,              4221.00,            81020.39,9999
07-04-2026,TESTREF002,TEST ENTRY R2-002,               500.00, ,            80520.39,9999
10-04-2026,TESTREF003,TEST ENTRY R2-003,               100.00, ,            80420.39,9999
11-04-2026,TESTREF004,TEST ENTRY R2-004, ,              3000.00,            83420.39,9999
24-04-2026,TESTREF005,TEST ENTRY R2-005,             83000.00, ,              420.39,9999
26-04-2026,TESTREF006,TEST ENTRY R2-006, ,             49579.61,            50000.00,9999
12-05-2026,TESTREF007,TEST ENTRY R2-007,               108.00, ,            49892.00,9999
13-05-2026,TESTREF008,TEST ENTRY R2-008,                80.00, ,            49812.00,9999
27-05-2026,TESTREF009,TEST ENTRY R2-009,              2900.00, ,            46912.00,9999
13-06-2026,TESTREF010,TEST ENTRY R2-010,               554.00, ,            46358.00,9999
15-06-2026,TESTREF011,TEST ENTRY R2-011, ,              3050.00,            49408.00,9999
16-06-2026,TESTREF012,TEST ENTRY R2-012, ,              2000.00,            51408.00,9999
16-06-2026,TESTREF013,TEST ENTRY R2-013,                70.00, ,            51338.00,9999
17-06-2026,TESTREF014,TEST ENTRY R2-014,             15860.00, ,            35478.00,9999
30-06-2026,TESTREF015,TEST ENTRY R2-015,              6000.00, ,            29478.00,9999
30-06-2026,TESTREF016,TEST ENTRY R2-016,              2000.00, ,            27478.00,9999
01-07-2026,TESTREF017,TEST ENTRY R2-017, ,               231.00,            27709.00,9999
01-07-2026,TESTREF018,TEST ENTRY R2-018,              4000.00, ,            23709.00,9999
04-07-2026,TESTREF019,TEST ENTRY R2-019,             23700.00, ,                9.00,9999
04-07-2026,TESTREF020,TEST ENTRY R2-020,                 9.00, ,                 .00,9999

